Name,City,Address,Rating,Price (INR),Rooms vailable,Amenities,Image URL
Hotel Paradise JAB-53,Jabalpur,"78, Civil Lines, Jabalpur",3.4,3482,8,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Heaven BHO-54,Bhopal,"124, Civil Lines, Bhopal",3.1,4936,46,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Paradise IND-55,Indore,"156, MG Road, Indore",3.4,4592,36,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Heaven RAT-56,Ratlam,"146, MG Road, Ratlam",4.5,2628,30,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Heaven IND-57,Indore,"67, Lake View, Indore",3.0,7958,34,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Paradise IND-58,Indore,"191, Civil Lines, Indore",3.8,4309,32,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Heaven REW-59,Rewa,"57, Civil Lines, Rewa",4.2,2644,42,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Palm GWA-60,Gwalior,"171, Station Road, Gwalior",3.9,4234,17,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Palm IND-61,Indore,"67, Station Road, Indore",3.9,6198,34,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Heaven SAG-62,Sagar,"98, Civil Lines, Sagar",3.9,2976,28,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel BlueMoon JAB-63,Jabalpur,"135, Lake View, Jabalpur",4.7,2949,49,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel BlueMoon SAT-64,Satna,"63, Station Road, Satna",3.8,2614,18,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Sunrise SAT-65,Satna,"21, Civil Lines, Satna",3.2,2366,28,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Elegance JAB-66,Jabalpur,"156, Main Road, Jabalpur",3.3,3330,37,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel BlueMoon BHO-67,Bhopal,"47, Lake View, Bhopal",3.4,6952,36,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Sunrise RAT-68,Ratlam,"154, Civil Lines, Ratlam",3.4,2033,22,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Sunrise SAG-69,Sagar,"20, Main Road, Sagar",3.9,3109,45,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Heaven BHO-70,Bhopal,"161, Main Road, Bhopal",4.4,7053,12,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1551776235-dde6d4829808
Hotel Royal IND-71,Indore,"121, Lake View, Indore",3.5,4176,14,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Paradise SAG-72,Sagar,"159, Civil Lines, Sagar",4.7,2632,26,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Heaven GWA-73,Gwalior,"119, Station Road, Gwalior",4.2,5849,8,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Galaxy CHH-74,Chhindwara,"111, Lake View, Chhindwara",4.1,1323,31,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Royal BHO-75,Bhopal,"192, Lake View, Bhopal",4.3,7326,9,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Harmony RAT-76,Ratlam,"173, Civil Lines, Ratlam",3.2,2042,27,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel BlueMoon GWA-77,Gwalior,"19, MG Road, Gwalior",4.2,5574,20,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Elegance UJJ-78,Ujjain,"26, Main Road, Ujjain",3.6,4964,24,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Elegance SAG-79,Sagar,"55, Station Road, Sagar",3.2,3296,19,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Galaxy CHH-80,Chhindwara,"113, Main Road, Chhindwara",3.7,1240,50,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel BlueMoon REW-81,Rewa,"146, Main Road, Rewa",3.4,1886,41,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Harmony REW-82,Rewa,"191, Lake View, Rewa",4.2,1882,14,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Palm UJJ-83,Ujjain,"104, Station Road, Ujjain",3.2,3850,36,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Paradise CHH-84,Chhindwara,"187, Civil Lines, Chhindwara",3.4,2388,20,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Paradise SAT-85,Satna,"163, Main Road, Satna",3.2,1947,48,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Palm SAT-86,Satna,"157, Lake View, Satna",4.3,2855,40,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Galaxy UJJ-87,Ujjain,"52, Lake View, Ujjain",3.8,4892,33,"Swimming Pool, Gym, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Royal SAT-88,Satna,"58, Lake View, Satna",3.1,2846,26,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Heaven IND-89,Indore,"136, Main Road, Indore",3.6,7002,43,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Sunrise BHO-90,Bhopal,"165, Market Area, Bhopal",4.3,5921,13,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Harmony SAG-91,Sagar,"160, MG Road, Sagar",4.6,2298,44,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1590490360182-c33d57733427
Hotel Harmony SAG-92,Sagar,"17, Station Road, Sagar",3.4,2187,8,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Galaxy GWA-93,Gwalior,"123, Market Area, Gwalior",3.3,5381,26,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Paradise IND-94,Indore,"165, Station Road, Indore",4.5,4079,33,"Room Service, WiFi, Bar, Laundry",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Galaxy CHH-95,Chhindwara,"99, Market Area, Chhindwara",4.3,2443,11,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Harmony SAT-96,Satna,"93, Civil Lines, Satna",4.2,2106,42,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Paradise RAT-97,Ratlam,"191, MG Road, Ratlam",4.0,2947,49,"Restaurant, Spa, Conference Room",https://images.unsplash.com/photo-1566073771259-6a8506099945
Hotel Heaven REW-98,Rewa,"103, Main Road, Rewa",4.8,1780,13,"Free WiFi, Parking, AC, Restaurant",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
Hotel Royal UJJ-99,Ujjain,"169, Market Area, Ujjain",3.4,4047,34,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1600585154340-be6161a56a0c
Hotel Elegance BHO-100,Bhopal,"80, Main Road, Bhopal",5.0,7658,34,"AC, Parking, WiFi, Free Breakfast",https://images.unsplash.com/photo-1551776235-dde6d4829808
